Label,Authors,Year,Journal,DOI,N_sample_PD,Age_PD_Min,Age_PD_Max,Age_PD_Mean,Age_PD_SD,UPDRS_ON_Mean,UPDRS_ON_SD,UPDRS_ON_Median,UPDRS_ON_IQR,UPDRS_OFF_Mean,UPDRS_OFF_SD,UPDRS_OFF_Median,UPDRS_OFF_IQR,HnY_Mean,HnY_SD,HnY_Median,HnY_IQR,HnY_Min,HnY_Max,Med_Status_Scan,N_HC,Age_HC_mean,Age_HC_sd,Study_Design,Primary_Focus,Focus_Specification,Data_Source,Data_Source_Institution,Paradigm_Type,Task_Description,TR_ms,TE_ms,Number_Volumes,Length_Scan_Minutes,Voxel_Size,Field_Strength,Motion_Params,Regress_WM_CSF,Regress_CompCor,Regress_ICA_AROMA,Detrending,Despiking,Scrubbing,Exclusion_Mean_FD_mm,Exclusion_Max_FD_mm,Exclusion_Max_Translation_mm,Exclusion_Max_Rotation_deg,Exclusion_Outlier_Frames_percent,Exclusion_Other,GSR,Spatial_Smoothing,Filter_Type,Low_Cutoff_Hz,High_Cutoff_Hz,Filter_Step_2_Type,Low_Cutoff_2_Hz,High_Cutoff_2_Hz,Brain_Mapping,Number_Networks,Number_Areas,Network_Areas,Parcellation_Methods,dFC_Methods,Window_Size_Seconds,Window_Shift_Second,Clustering_Methods,Number_States,Number_States_Criteria,State_Features,Graph_Measures,Data_Availability,Code_Availability,Identified_States_Description,Integration_State_Findings,Segregation_State_Findings,State_Pattern_Conclusion,Transition_Findings,Transition_Pattern_Conclusion,Proposed_Biomarker_Summary_Cleaned,Limitations
X.WOS.001054971800001,Hensel; Lukas; Seger; Aline; Farrher; Ezequiel; Bonkhoff; Anna K.; Shah N. Jon; Fink; Gereon R.; Grefkes; Christian; Sommerauer; Michael; Doppler; Christopher E. J.,2023,Parkinsonism and Related Disorders,10.1016/j.parkreldis.2023.105777,16,Not reported,Not reported,65.8,7,26,Not reported,26,18.00-28.25,Not reported,Not reported,42.5,27.75-51.00,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,ON state,18,67.6,7.7,Cross-sectional,Intervention Response,Dopaminergic Medication,Private,University Hospital Cologne; Forschungszentrum Julich; University Hospital Frankfurt; RWTH Aachen University; Massachusetts General Hospital,Resting-state,Not applicable,2200,30,300,11,3.1x3.1x3.1,3,Not reported,No,No,No,Yes,Yes,No,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,FWHM = 8,Low-pass,Not reported,0.15,Not reported,Not reported,Not reported,NETWORKS,4,10,Basal Ganglia (BG); Cerebellum (CB); Motor Initiation (MI); Sensorimotor Network (SMN),ICA,Sliding window,44,2.2,K-mean,4,Elbow; Silhoutte,Dwell time; Fraction time; Number of transitions,Not reported,Not reported ,Not reported ,State 2 (Stronger connections; anti-correlated); State 1 (Weaker connections/Segregated),PD patients spend less time in a state with stronger connections (integrated).,PD patients spend more time in a state with weaker connections (segregated).,Integration associated with better outcomes / Segregation with worse,Not Applicable,Not Applicable,Response to dopaminergic treatment is associated with the temporal dynamics of fronto-striatal connectivity.,ON state only; No standardized levodopa challenge
X.WOS.000515444100015,Navalpotro-Gomez; Irene; Kim; Jinhee; Paz-Alonso; Pedro M.; Delgado-Alvarado; Manuel; Quiroga-Varela; Ana; Jimenez-Urbieta; Haritz; Carreiras; Manuel; Strafella; Antonio P.; Cruz Rodriguez-Oroz; Maria,2020,Parkinsonism and Related Disorders,10.1016/j.parkreldis.2019.12.009,16,Not reported,Not reported,61.25,8.2,Not reported,Not reported,Not reported,Not reported,20.35,9.4,Not reported,Not reported,Not reported,Not reported,2,1.5-2.5,Not reported,Not reported,ON state,17,63.5,9.7,Cross-sectional,Clinical Phenotype,Impulse Control Disorder,Private,Biodonostia Health Research Institute; Hospital Donostia; Basque Center on Cognition Brain and Language (BCBL); Clinica Universidad de Navarra; Sierrallana Hospital; Valdecilla Biomedical Research Institute (IDIVAL); University of Navarra; Centre for Addiction and Mental Health (CAMH),Resting-state,Not applicable,2140,25,300,10.7,3x3x3.5,3,Not reported,No,No,No,Yes,Yes,No,0.5,3,3,3,Not reported,"9 participants excluded due to motion (4 PD-ICD, 2 PD-noICD, 3 HC)",Not reported,FWHM = 8,Low-pass,Not reported,0.15,Not reported,Not reported,Not reported,NETWORKS,7,40,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Language Network (LAN); Salience Network (SAL); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,47,2.14,K-mean,4,Elbow; bayesian information criterion,Dwell time; Fraction time; Number of transitions,Assortativity; Betweenness centrality; Clustering coefficient; Global efficiency; Local efficiency,,Not reported ,State 1 (Integrated; least frequent); State 3 (Segregated; most frequent); States 2 and 4 (Intermediate),Not Applicable,PD with Impulse Control Disorder (ICD) spend more time in a segregated network state; which is correlated with worse personality and impulsivity scores.,Integration associated with better outcomes / Segregation with worse,Not Applicable,Not Applicable,Impulse Control Disorder (ICD) in PD is associated with heightened local engagement of limbic networks; suggesting inefficient emotion and reward modulation.,ON state only; No standardized levodopa challenge
X.WOS.000515444100015,Navalpotro-Gomez; Irene; Kim; Jinhee; Paz-Alonso; Pedro M.; Delgado-Alvarado; Manuel; Quiroga-Varela; Ana; Jimenez-Urbieta; Haritz; Carreiras; Manuel; Strafella; Antonio P.; Cruz Rodriguez-Oroz; Maria,2020,Parkinsonism and Related Disorders,10.1016/j.parkreldis.2019.12.009,20,Not reported,Not reported,63.45,8.1,Not reported,Not reported,Not reported,Not reported,25.93,7,Not reported,Not reported,Not reported,Not reported,2,1.5-3,Not reported,Not reported,ON state,17,63.5,9.7,Cross-sectional,Clinical Phenotype,Impulse Control Disorder,Private,Biodonostia Health Research Institute; Hospital Donostia; Basque Center on Cognition Brain and Language (BCBL); Clinica Universidad de Navarra; Sierrallana Hospital; Valdecilla Biomedical Research Institute (IDIVAL); University of Navarra; Centre for Addiction and Mental Health (CAMH),Resting-state,Not applicable,2140,25,300,10.7,3x3x3.5,3,Not reported,No,No,No,Yes,Yes,No,0.5,3,3,3,Not reported,"9 participants excluded due to motion (4 PD-ICD, 2 PD-noICD, 3 HC)",Not reported,FWHM = 8,Low-pass,Not reported,0.15,Not reported,Not reported,Not reported,NETWORKS,7,40,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Language Network (LAN); Salience Network (SAL); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,47,2.14,K-mean,4,Elbow; bayesian information criterion,Dwell time; Fraction time; Number of transitions,Assortativity; Betweenness centrality; Clustering coefficient; Global efficiency; Local efficiency,,Not reported ,State 1 (Integrated; least frequent); State 3 (Segregated; most frequent); States 2 and 4 (Intermediate),Not Applicable,PD with Impulse Control Disorder (ICD) spend more time in a segregated network state; which is correlated with worse personality and impulsivity scores.,Integration associated with better outcomes / Segregation with worse,Not Applicable,Not Applicable,Impulse Control Disorder (ICD) in PD is associated with heightened local engagement of limbic networks; suggesting inefficient emotion and reward modulation.,ON state only; No standardized levodopa challenge
X40252310,Kemp AS; Eubank AJ; Younus Y; Galvin JE; Prior FW; Larson-Prior LJ,2025,NeuroImage: Clinical,10.1016/j.nicl.2025.103779,15,Not reported,Not reported,69.9,9.3,29.7,9.5,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,2.4,0.6,Not reported,Not reported,Not reported,Not reported,ON state,22,70.7,7.5,Cross-sectional,Clinical Phenotype,Cognitive Impairment,Private,New York University (NYU) Grossman School of Medicine,Resting-state,Not applicable,2000,29,196,6.533333333,,3,12p,No,No,Yes,No,No,No,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,FWHM = 6,High-pass,Not reported,Not reported,Not reported,Not reported,Not reported,NETWORKS,11,30,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Fronto-parietal Network (FPN); Language Network (LAN); Salience Network (SAL); Sensorimotor Network (SMN); Thalamus (TH); Visual Network (VIS),ICA,Sliding window,52,2,K-mean,3,City distance method,Dwell time,Not reported,doi:10.18112/openneuro.ds005892.v1.0.0.,https://github.com/kempaaron/seq2pat_notebook,State 2 (Hyper-connected/Integrated); State 1 (Hypo-connected/Segregated); State 3 (Anti-correlated pattern),HCs spend more time in the integrated state; which is considered helpful.,PD with Mild Cognitive Impairment (MCI) spend more time in the segregated state; which is linked to worse outcomes.,Integration associated with better outcomes / Segregation with worse,Not Applicable,Not Applicable,A combination of dFC measures and sequential pattern mining shows promise for understanding cognitive impairment mechanisms in PD.,Small sample
X40252310,Kemp AS; Eubank AJ; Younus Y; Galvin JE; Prior FW; Larson-Prior LJ,2025,NeuroImage: Clinical,10.1016/j.nicl.2025.103779,18,Not reported,Not reported,65.9,5.2,24.8,10.9,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,2.4,0.6,Not reported,Not reported,Not reported,Not reported,ON state,22,70.7,7.5,Cross-sectional,Clinical Phenotype,Cognitive Impairment,Private,New York University (NYU) Grossman School of Medicine,Resting-state,Not applicable,2000,29,196,6.533333333,,3,12p,No,No,Yes,No,No,No,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,FWHM = 6,High-pass,Not reported,Not reported,Not reported,Not reported,Not reported,NETWORKS,11,30,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Fronto-parietal Network (FPN); Language Network (LAN); Salience Network (SAL); Sensorimotor Network (SMN); Thalamus (TH); Visual Network (VIS),ICA,Sliding window,52,2,K-mean,3,City distance method,Dwell time,Not reported,doi:10.18112/openneuro.ds005892.v1.0.0.,https://github.com/kempaaron/seq2pat_notebook,State 2 (Hyper-connected/Integrated); State 1 (Hypo-connected/Segregated); State 3 (Anti-correlated pattern),HCs spend more time in the integrated state; which is considered helpful.,PD with Mild Cognitive Impairment (MCI) spend more time in the segregated state; which is linked to worse outcomes.,Integration associated with better outcomes / Segregation with worse,Not Applicable,Not Applicable,A combination of dFC measures and sequential pattern mining shows promise for understanding cognitive impairment mechanisms in PD.,Small sample
X29527489,Diez-Cirarda M; Strafella AP; Kim J; Pena J; Ojeda N; Cabrera-Zubizarreta A; Ibarretxe-Bilbao N,2018,NeuroImage: Clinical,10.1016/j.nicl.2017.12.013,23,Not reported,Not reported,69.17,4.48,22.65,11.08,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1.93,0.5,Not reported,Not reported,ON state,26,68.31,7.52,Cross-sectional,Clinical Phenotype,Cognitive Impairment,Private,Hospital of Galdakao; PD Biscay Association (ASPARBI),Resting-state,Not applicable,2100,16,220,7.7,3x3x3x,3,6p,No,Yes,No,Yes,No,No,0.5,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,FWHM = 6,Band-pass,0.008,0.09,Low-pass,Not reported,0.15,NETWORKS,7,29,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Sensorimotor Network (SMN); Subcortical (SC); Visual Network (VIS),ICA,Sliding window,46.2,2.2,K-mean,2,Elbow,Dwell time; Number of transitions,Betweenness centrality; Clustering coefficient; Global efficiency; Local efficiency,Not reported ,Not reported ,State 1 (Integrated; less frequent); State 2 (Segregated; more frequent),Not Applicable,Compared to HCs; PD with MCI spend less time in a segregated state.,Integration associated with worse outcomes / Segregation with better,A higher number of transitions is observed in PD with MCI compared to HCs.,More transitions associated with worse outcomes,Mild Cognitive Impairment (MCI) in PD is associated with dFC deterioration; reduced SMN-Cerebellum coupling; and topological decline in the SMN.,Short scan; Low TE; ON state only; Domain unspecified
X29527489,Diez-Cirarda M; Strafella AP; Kim J; Pena J; Ojeda N; Cabrera-Zubizarreta A; Ibarretxe-Bilbao N,2018,NeuroImage: Clinical,10.1016/j.nicl.2017.12.013,12,Not reported,Not reported,65.17,8.31,18.45,6.91,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1.79,0.39,Not reported,Not reported,ON state,26,68.31,7.52,Cross-sectional,Clinical Phenotype,Cognitive Impairment,Private,Hospital of Galdakao; PD Biscay Association (ASPARBI),Resting-state,Not applicable,2100,16,220,7.7,3x3x3x,3,6p,No,Yes,No,Yes,No,No,0.5,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,FWHM = 6,Band-pass,0.008,0.09,Low-pass,Not reported,0.15,NETWORKS,7,59,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Sensorimotor Network (SMN); Subcortical (SC); Visual Network (VIS),ICA,Sliding window,46.2,2.2,K-mean,2,Elbow,Dwell time; Number of transitions,Betweenness centrality; Clustering coefficient; Global efficiency; Local efficiency,Not reported ,Not reported ,State 1 (Integrated; less frequent); State 2 (Segregated; more frequent),Not Applicable,Compared to HCs; PD with MCI spend less time in a segregated state.,Integration associated with worse outcomes / Segregation with better,A higher number of transitions is observed in PD with MCI compared to HCs.,More transitions associated with worse outcomes,Mild Cognitive Impairment (MCI) in PD is associated with dFC deterioration; reduced SMN-Cerebellum coupling; and topological decline in the SMN.,Short scan; Low TE; ON state only; Domain unspecified
X36075964,Zarkali A; Luppi AI; Stamatakis EA; Reeves S; McColgan P; Leyland LA; Lees AJ; Weil RS,2022,Communications Biology,10.1038/s42003-022-03903-x,16,Not reported,Not reported,64.8,8.6,29.8,22.6,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,ON state,32,66.1,9.4,Cross-sectional,Clinical Phenotype,Hallucination,Private,Dementia Research Centre; University College London,Resting-state,Not applicable,700,30,105,1.225,,3,6p,Yes,Yes,No,No,No,No,0.3,5,Not reported,Not reported,30,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,WHOLE BRAIN,Not applicable,232,Not applicable,Schaefer200 cortical; Tian subcortical,Sliding window,44,0.7,K-mean,2,Cartographic profile,Dwell time; Fraction time; Number of transitions,Not reported,Not reported ,https://github.com/AngelikaZa/TVFC,Integrated and Segregated states,PD patients with hallucinations spend less time in the integrated state.,PD patients with hallucinations spend more time in the segregated state compared to those without hallucinations and HCs.,Integration associated with better outcomes / Segregation with worse,The number of transitions is lower in PD with hallucinations compared to those without.,More transitions associated with better outcomes,Visual Hallucinations (VH) in PD are linked to spending more time in a segregated state; having fewer state transitions; and longer dwell times in the integrated state.,Small sample; ON state only; Linear model only
X36075964,Zarkali A; Luppi AI; Stamatakis EA; Reeves S; McColgan P; Leyland LA; Lees AJ; Weil RS,2022,Communications Biology,10.1038/s42003-022-03903-x,75,Not reported,Not reported,64.4,7.8,21.2,11.3,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,ON state,32,66.1,9.4,Cross-sectional,Clinical Phenotype,Hallucination,Private,Dementia Research Centre; University College London,Resting-state,Not applicable,700,30,105,1.225,,3,6p,Yes,Yes,No,No,No,No,0.3,5,Not reported,Not reported,30,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,WHOLE BRAIN,Not applicable,232,Not applicable,Schaefer200 cortical; Tian subcortical,Sliding window,44,0.7,K-mean,2,Cartographic profile,Dwell time; Fraction time; Number of transitions,Not reported,Not reported ,https://github.com/AngelikaZa/TVFC,Integrated and Segregated states,PD patients with hallucinations spend less time in the integrated state.,PD patients with hallucinations spend more time in the segregated state compared to those without hallucinations and HCs.,Integration associated with better outcomes / Segregation with worse,The number of transitions is lower in PD with hallucinations compared to those without.,More transitions associated with better outcomes,Visual Hallucinations (VH) in PD are linked to spending more time in a segregated state; having fewer state transitions; and longer dwell times in the integrated state.,Small sample; ON state only; Linear model only
X37597816,Gan C; Ji M; Sun H; Cao X; Shi J; Wang L; Zhang H; Yuan Y; Zhang K,2023,Neurobiology of Disease,10.1016/j.nbd.2023.106265,52,Not reported,Not reported,62.67,8.19,Not reported,Not reported,Not reported,Not reported,33,14.61,Not reported,Not reported,2.3,0.8,Not reported,Not reported,Not reported,Not reported,OFF state,38,61.92,5.57,Cross-sectional,Clinical Phenotype,Freezing of Gait,Private,Nanjing Medical University,Resting-state,Not applicable,2000,21,240,8,3x3x3,3,Not reported,No,No,No,Yes,Yes,No,Not reported,Not reported,Not reported,Not reported,Not reported,Compliance reported: <2mm translation; <2 deg rotation,Not reported,FWHM = 6,Low-pass,Not reported,0.1,Not reported,Not reported,Not reported,NETWORKS,7,23,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,46,2,K-mean,7,Elbow,Dwell time; Fraction time; Number of transitions,Global efficiency; Local efficiency; Nodal efficiency ,Upon request,Not reported ,State 6 (Strongly Integrated); State 1 (Weakly Segregated); States 2-5 and 7 (Intermediate with specific network features),Spending more time in an intermediate state is related to worse motor performance.,No clear group differences in temporal properties of states were found.,Neutral/Descriptive Finding,Not Applicable,Not Applicable,Freezing of Gait (FOG) may reflect an altered allocation of visuospatial and cognitive resources.,Laboratory setting; No real-time FOG capture; Cross-sectional design
X37597816,Gan C; Ji M; Sun H; Cao X; Shi J; Wang L; Zhang H; Yuan Y; Zhang K,2023,Neurobiology of Disease,10.1016/j.nbd.2023.106265,73,Not reported,Not reported,61.71,9.59,Not reported,Not reported,Not reported,Not reported,26.62,13.03,Not reported,Not reported,2.2,0.6,Not reported,Not reported,Not reported,Not reported,OFF state,38,61.92,5.57,Cross-sectional,Clinical Phenotype,Freezing of Gait,Private,Nanjing Medical University,Resting-state,Not applicable,2000,21,240,8,3x3x3,3,Not reported,No,No,No,Yes,Yes,No,Not reported,Not reported,Not reported,Not reported,Not reported,Compliance reported: <2mm translation; <2 deg rotation,Not reported,FWHM = 6,Low-pass,Not reported,0.1,Not reported,Not reported,Not reported,NETWORKS,7,23,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,46,2,K-mean,7,Elbow,Dwell time; Fraction time; Number of transitions,Global efficiency; Local efficiency; Nodal efficiency ,Upon request,Not reported ,State 6 (Strongly Integrated); State 1 (Weakly Segregated); States 2-5 and 7 (Intermediate with specific network features),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Freezing of Gait (FOG) may reflect an altered allocation of visuospatial and cognitive resources.,Laboratory setting; No real-time FOG capture; Cross-sectional design
X39401562,Liu X; Zhang Y; Weng Y; Zhong M; Wang L; Gao Z; Hu H; Zhang Y; Huang B; Huang R,2025,Progress in Neuro-Psychopharmacology and Biological Psychiatry,10.1016/j.pnpbp.2024.111169,23,Not reported,Not reported,63.35,8.74,23.33,7.75,Not reported,Not reported,30.07,9.5,Not reported,Not reported,1.91,0.67,Not reported,Not reported,Not reported,Not reported,OFF and ON state,21,63.19,10.32,Longitudinal,Intervention Response,Levodopa Medication,Private,Guangdong General Hospital,Resting-state,Not applicable,2000,30,186,6.2,3x3x3,3,24p,Yes,No,No,Yes,No,No,0.2,Not reported,2.5,2.5,Not reported,FD from Jenkinson,Not reported,FWHM = 5,Band-pass,0.01,0.1,Not reported,Not reported,Not reported,NETWORKS,7,43,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,44,2,K-mean,2,Silhoutte,Dwell time; Fraction time; Number of transitions,Not reported,Not reported ,Not reported ,State 1 (Strongly connected/Integrated); State 2 (Sparsely connected/Segregated),PD patients (ON and OFF) show lower occurrence and dwell time in the integrated state compared to HCs.,PD patients show higher occurrence in the segregated state. PD-OFF patients spend more time in this state than HCs and PD-ON patients.,Integration associated with better outcomes / Segregation with worse,PD-ON patients have a higher number of transitions than PD-OFF patients.,More transitions associated with better outcomes,Levodopa improves abnormal network dynamics and organization in PD.,No placebo group; Small sample; Short window length; Head-motion artifacts
X40041986,Chen L; Wang J; Gao L; Sun J; Zhang D; Wu T,2025,Journal of Neuroscience Research,10.1002/jnr.70029,48,Not reported,Not reported,59.4,7.53,Not reported,Not reported,Not reported,Not reported,29.02,10.66,Not reported,Not reported,1.85,0.71,Not reported,Not reported,Not reported,Not reported,OFF state,92,60.46,8.89,Cross-sectional,Clinical Phenotype,Motor Side Dominance,Private,Xuanwu Hospital; Capital Medical University,Resting-state,Not applicable,2000,30,180,6,3x3x3,3,24p,Yes,No,No,No,No,Yes,0.3,Not reported,3,3,Not reported,Not reported,Not reported,FWHM = 4,Band-pass,0.01,0.08,Not reported,Not reported,Not reported,AREAS,1,33,Cerebellar areas,SUIT,Sliding window,60,2,K-mean,2,Calinski–Harabasz and Davies–Bouldin indices; Silhoutte,Dwell time; Fraction time; Number of transitions,Not reported,Not reported ,Not reported ,State 1 (Integrated; less frequent); State 2 (Segregated; more frequent),Worse motor performance is related to more time spent in an integrated state.,HCs spend less time in the segregated state than PD. Spending more time in this state is linked to worse sleep disturbance.,Mixed/Contradictory Findings,Not Applicable,Not Applicable,Dynamic features of the cerebellum differ between PD and HCs and vary depending on the dominant side of motor symptoms.,Cross-sectional design; Small sample; Short scan
X40041986,Chen L; Wang J; Gao L; Sun J; Zhang D; Wu T,2025,Journal of Neuroscience Research,10.1002/jnr.70029,60,Not reported,Not reported,59.6,10,Not reported,Not reported,Not reported,Not reported,27.23,13.65,Not reported,Not reported,1.71,0.65,Not reported,Not reported,Not reported,Not reported,OFF state,92,60.46,8.89,Cross-sectional,Clinical Phenotype,Motor Side Dominance,Private,Xuanwu Hospital; Capital Medical University,Resting-state,Not applicable,2000,30,180,6,3x3x3,3,24p,Yes,No,No,No,No,Yes,0.3,Not reported,3,3,Not reported,Not reported,Not reported,FWHM = 4,Band-pass,0.01,0.08,Not reported,Not reported,Not reported,AREAS,1,33,Cerebellar areas,SUIT,Sliding window,60,2,K-mean,2,Calinski–Harabasz and Davies–Bouldin indices; Silhoutte,Dwell time; Fraction time; Number of transitions,Not reported,Not reported ,Not reported ,State 1 (Integrated; less frequent); State 2 (Segregated; more frequent),Worse motor performance is related to more time spent in an integrated state.,HCs spend less time in the segregated state than PD. Spending more time in this state is linked to worse sleep disturbance.,Mixed/Contradictory Findings,Not Applicable,Not Applicable,Dynamic features of the cerebellum differ between PD and HCs and vary depending on the dominant side of motor symptoms.,Cross-sectional design; Small sample; Short scan
X.WOS.000710021600001,Wu; Chengyuan; Matias; Caio; Foltynie; Thomas; Limousin; Patricia; Zrinzo; Ludvic; Akram; Harith,2021,Frontiers in Human Neuroscience,10.3389/fnhum.2021.729677,18,Not reported,Not reported,55.3,10.1,17.4,10.1,Not reported,Not reported,41.8,11.3,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,3,4,ON state,Not reported ,Not reported,Not reported,Longitudinal,Intervention Response,DBS Stimulation,Private,Thomas Jefferson University; UCL Institute of Neurology; National Hospital for Neurology and Neurosurgery,Resting-state,Not applicable,2700,30,253,11.385,3x3x2.5,3,6p,Yes,Yes,No,No,No,Yes,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,FWHM = 8,High-pass,0.078,Not reported,Not reported,Not reported,Not reported,NETWORKS,8,25,Auditory Network (AUD); Cerebellum (CB); Default Mode Network (DMN); Fronto-parietal Network (FPN); Language Network (LAN); Salience Network (SAL); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,59.4,2.7,K-mean,2,Silhoutte,Dwell time; Number of transitions,Assortativity; Betweenness centrality; Clustering coefficient; Global efficiency,Upon request,Not reported ,State 1 (Integrated); State 2 (Segregated),Not Applicable,Not Applicable,Not Applicable,No significant findings on temporal properties of states between before and after DBS.,Neutral/Descriptive Finding,Dynamic graph analysis can isolate a hypo-connected state that is linked to the clinical effects of STN-DBS.,ON state only; Small sample; Insufficient ICs covering basal ganglia
